book name,rating,UPC,product type,price exclude tax,price include tax,tax,availability,number of reviews
A Light in the Attic,3,a897fe39b1053632,Books,£51.77,£51.77,£0.00,In stock (22 available),0
Tipping the Velvet,1,90fa61229261140a,Books,£53.74,£53.74,£0.00,In stock (20 available),0
Soumission,1,6957f44c3847a760,Books,£50.10,£50.10,£0.00,In stock (20 available),0
Sharp Objects,4,e00eb4fd7b871a48,Books,£47.82,£47.82,£0.00,In stock (20 available),0
Sapiens: A Brief History of Humankind,5,4165285e1663650f,Books,£54.23,£54.23,£0.00,In stock (20 available),0
The Requiem Red,1,f77dbf2323deb740,Books,£22.65,£22.65,£0.00,In stock (19 available),0
The Dirty Little Secrets of Getting Your Dream Job,4,2597b5a345f45e1b,Books,£33.34,£33.34,£0.00,In stock (19 available),0
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,e72a5dfc7e9267b2,Books,£17.93,£17.93,£0.00,In stock (19 available),0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,e10e1e165dc8be4a,Books,£22.60,£22.60,£0.00,In stock (19 available),0
The Black Maria,1,1dfe412b8ac00530,Books,£52.15,£52.15,£0.00,In stock (19 available),0
"Starving Hearts (Triangular Trade Trilogy, #1)",2,0312262ecafa5a40,Books,£13.99,£13.99,£0.00,In stock (19 available),0
Shakespeare's Sonnets,4,30a7f60cd76ca58c,Books,£20.66,£20.66,£0.00,In stock (19 available),0
Set Me Free,5,ce6396b0f23f6ecc,Books,£17.46,£17.46,£0.00,In stock (19 available),0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,3b1c02bac2a429e6,Books,£52.29,£52.29,£0.00,In stock (19 available),0
Rip it Up and Start Again,5,a34ba96d4081e6a4,Books,£35.02,£35.02,£0.00,In stock (19 available),0
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,deda3e61b9514b83,Books,£57.25,£57.25,£0.00,In stock (19 available),0
Olio,1,feb7cc7701ecf901,Books,£23.88,£23.88,£0.00,In stock (19 available),0
Mesaerion: The Best Science Fiction Stories 1800-1849,1,e30f54cea9b38190,Books,£37.59,£37.59,£0.00,In stock (19 available),0
Libertarianism for Beginners,2,a18a4f574854aced,Books,£51.33,£51.33,£0.00,In stock (19 available),0
It's Only the Himalayas,2,a22124811bfa8350,Books,£45.17,£45.17,£0.00,In stock (19 available),0
In Her Wake,1,23356462d1320d61,Books,£12.84,£12.84,£0.00,In stock (19 available),0
How Music Works,2,327f68a59745c102,Books,£37.32,£37.32,£0.00,In stock (19 available),0
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,5674a18a29a43ced,Books,£30.52,£30.52,£0.00,In stock (19 available),0
Chase Me (Paris Nights #2),5,c2e46a2ee3b4a322,Books,£25.27,£25.27,£0.00,In stock (19 available),0
Black Dust,5,00bfed9e18bb36f3,Books,£34.53,£34.53,£0.00,In stock (19 available),0
Birdsong: A Story in Pictures,3,9528d0948525bf5f,Books,£54.64,£54.64,£0.00,In stock (19 available),0
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,c7d160c2c0de586f,Books,£22.50,£22.50,£0.00,In stock (19 available),0
Aladdin and His Wonderful Lamp,3,904208d6aa64b655,Books,£53.13,£53.13,£0.00,In stock (19 available),0
Worlds Elsewhere: Journeys Around ShakespeareÄôs Globe,5,4c28def39d850cdf,Books,£40.30,£40.30,£0.00,In stock (18 available),0
Wall and Piece,4,ccd9ffa25efabdea,Books,£44.18,£44.18,£0.00,In stock (18 available),0
The Four Agreements: A Practical Guide to Personal Freedom,5,6258a1f6a6dcfe50,Books,£17.66,£17.66,£0.00,In stock (18 available),0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,3c039985229453bf,Books,£31.05,£31.05,£0.00,In stock (18 available),0
The Elephant Tree,5,5dada2b7be26bd03,Books,£23.82,£23.82,£0.00,In stock (18 available),0
The Bear and the Piano,1,9f6568e9c95f60b0,Books,£36.89,£36.89,£0.00,In stock (18 available),0
Sophie's World,5,6be3beb0793a53e7,Books,£15.94,£15.94,£0.00,In stock (18 available),0
Penny Maybe,3,668fe56b17cfcd4f,Books,£33.29,£33.29,£0.00,In stock (18 available),0
